Found app: 标记, package: com.android.apps.tag
2024-12-19 17:25:37.273 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: HAware, package: com.huawei.powergenie
2024-12-19 17:25:37.273 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: BehaviorAuth, package: com.huawei.behaviorauth
2024-12-19 17:25:37.274 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: Huawei WebView, package: com.huawei.webview
2024-12-19 17:25:37.299 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 番茄免费小说, package: com.dragon.read
2024-12-19 17:25:37.308 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 分布式设备管理, package: com.huawei.devicemanager
2024-12-19 17:25:37.331 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 小天才, package: com.xtc.watch
2024-12-19 17:25:37.331 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: Android-Accessibility-Api, package: cn.vove7.andro_accessibility_api.demo
2024-12-19 17:25:37.334 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 小艺建议, package: com.huawei.ohos.suggestion
2024-12-19 17:25:37.337 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 番茄畅听, package: com.xs.fm
2024-12-19 17:25:37.337 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: iConnectUI, package: com.huawei.iconnect.ui
2024-12-19 17:25:37.337 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: Application Inspector, package: com.ubqsoft.sec01
2024-12-19 17:25:37.365 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 豆包, package: com.larus.nova
2024-12-19 17:25:37.388 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 腾讯新闻, package: com.tencent.news
2024-12-19 17:25:37.390 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: HwInstantOnline, package: com.huawei.android.instantonline
2024-12-19 17:25:37.419 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 存储空间管理器, package: com.android.storagemanager
2024-12-19 17:25:37.425 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 设置, package: com.android.settings
2024-12-19 17:25:37.434 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: Clash for Android, package: com.github.kr328.clash.foss
